"","p","P","q","Q","aic"
"148",3,0,1,2,1746.71605237389
"149",0,1,1,2,1751.93235586591
"150",1,1,1,2,1750.44724228403
"151",2,1,1,2,1749.16985917785
"152",3,1,1,2,1748.19146410969
"153",0,2,1,2,1736.29251982786
"154",1,2,1,2,1737.41361625892
"155",2,2,1,2,1731.72625275535
"157",0,3,1,2,1741.97758756142
"158",1,3,1,2,1739.59760966421
"159",2,3,1,2,1736.99182265702
"160",3,3,1,2,1735.17530497499
"161",0,0,2,2,1749.68243331241
"162",1,0,2,2,1747.45608503536
"163",2,0,2,2,1749.44287930071
"164",3,0,2,2,1747.1489110537
"165",0,1,2,2,1751.15603941912
"166",1,1,2,2,1748.92433832616
"167",2,1,2,2,1750.90523606483
"168",3,1,2,2,1748.6059567554
"169",0,2,2,2,1735.07573410371
"170",1,2,2,2,1731.62700513254
"171",2,2,2,2,1728.97412380867
"172",3,2,2,2,1734.14394103447
"173",0,3,2,2,1740.72601747111
"174",1,3,2,2,1736.96561398372
"175",2,3,2,2,1734.39916335504
"176",3,3,2,2,1739.91312731482
"177",0,0,3,2,1747.81199943523
"178",1,0,3,2,1744.92115237635
"179",2,0,3,2,1746.8933716561
"180",3,0,3,2,1747.95508016725
"181",0,1,3,2,1749.33847077993
"182",1,1,3,2,1746.3677665426
"183",2,1,3,2,1749.19752227976
"184",3,1,3,2,1749.04057789181
"185",0,2,3,2,1732.06654924252
"186",1,2,3,2,1728.66022255802
"187",2,2,3,2,1730.94354320072
"188",3,2,3,2,1755.28235168051
"189",0,3,3,2,1737.28970612061
"190",1,3,3,2,1738.94099487038
"191",2,3,3,2,1736.55243550324
"193",0,0,0,3,2042.2050163713
"194",1,0,0,3,1837.32556070092
"195",2,0,0,3,1786.26696335796
"196",3,0,0,3,1764.16598111499
"197",0,1,0,3,2041.42818197584
"198",1,1,0,3,1836.94164057529
"199",2,1,0,3,1777.2541302916
"200",3,1,0,3,1754.09062482296
"201",0,2,0,3,2039.95883046187
"202",1,2,0,3,1824.98439497534
"203",2,2,0,3,1775.38558675512
"204",3,2,0,3,1752.8101992759
"205",0,3,0,3,2034.54119723009
"206",1,3,0,3,1822.87662389657
"207",2,3,0,3,1772.81651281635
"208",3,3,0,3,1751.13660493012
"209",0,0,1,3,1750.05399258615
"210",1,0,1,3,1748.60038352911
"211",2,0,1,3,1747.37552815563
"212",3,0,1,3,1746.26824371988
"213",0,1,1,3,1739.56948937792
"214",1,1,1,3,1737.75761707589
"215",2,1,1,3,1735.40390982445
"216",3,1,1,3,1734.31310754559
"217",0,2,1,3,1738.19014363296
"218",1,2,1,3,1740.1365432242
"219",2,2,1,3,1724.91245093891
"221",0,3,1,3,1737.07239395416
"222",1,3,1,3,1739.68209025375
"223",2,3,1,3,1733.37026501556
"224",3,3,1,3,1731.06998111056
"225",0,0,2,3,1749.29939841861
"226",1,0,2,3,1746.6968942254
"227",2,0,2,3,1748.64867769699
"228",3,0,2,3,1746.66685671053
"229",0,1,2,3,1738.62092974499
"230",1,1,2,3,1734.81885841981
"232",3,1,2,3,1734.50294371339
"233",0,2,2,3,1736.97550535645
"234",1,2,2,3,1733.539770297
"235",2,2,2,3,1730.96992641501
"236",3,2,2,3,1736.0952952684
"237",0,3,2,3,1735.79487689073
"238",1,3,2,3,1732.38096785214
"239",2,3,2,3,1732.0601832655
"240",3,3,2,3,1739.05865057446
"241",0,0,3,3,1747.53236850601
"242",1,0,3,3,1744.39059204256
"243",2,0,3,3,1746.30633959844
"244",3,0,3,3,1747.12952853602
"245",0,1,3,3,1735.83435850224
"246",1,1,3,3,1732.27342833932
"247",2,1,3,3,1734.48201272332
"248",3,1,3,3,1741.55361600191
"249",0,2,3,3,1733.97948340976
"250",1,2,3,3,1735.50317577903
"253",0,3,3,3,1732.725145893
"254",1,3,3,3,1734.32561849308
"255",2,3,3,3,1731.95551628519
