"V1","V2"
"367",1985,2675
"368",1985,2870
"369",1985,2567
"370",1985,2906
"371",1985,2346
"372",1985,2909
"373",1986,2593
"374",1986,2860
"375",1986,2864
"376",1986,2999
"377",1986,2518
"378",1986,2974
"379",1986,2654
"380",1986,2803
"381",1986,2870
"382",1986,3009
"383",1986,2597
"384",1986,2947
"385",1987,2980
"386",1987,3195
"387",1987,3100
"388",1987,2973
"389",1987,2634
"390",1987,3067
"391",1987,2887
"392",1987,2954
"393",1987,2851
"394",1987,3012
"395",1987,2655
"396",1987,3058
"397",1988,3223
"398",1988,3170
"399",1988,3062
"400",1988,3314
"401",1988,2953
"402",1988,3170
"403",1988,3103
"404",1988,3153
"405",1988,3286
"406",1988,3159
"407",1988,2802
"408",1988,3091
"409",1989,3374
"410",1989,3618
"411",1989,3278
"412",1989,3558
"413",1989,3072
"414",1989,3873
"415",1989,3209
"416",1989,3571
"417",1989,3379
"418",1989,3487
"419",1989,3075
"420",1989,3603
"421",1990,3433
"422",1990,3640
"423",1990,3557
"424",1990,3761
"425",1990,3148
"426",1990,3635
"427",1990,3319
"428",1990,3452
"429",1990,3437
"430",1990,3644
"431",1990,3305
"432",1990,3517
"433",1991,3194
"434",1991,3429
"435",1991,3363
"436",1991,3552
"437",1991,3154
"438",1991,3491
"439",1991,3330
"440",1991,3416
"441",1991,3286
"442",1991,3552
"443",1991,3185
"444",1991,3657
"445",1992,3347
"446",1992,3823
"447",1992,3646
"448",1992,3797
"449",1992,3356
"450",1992,3736
"451",1992,3443
"452",1992,3772
"453",1992,3566
"454",1992,3548
"455",1992,3151
"456",1992,3578
"457",1993,3681
"458",1993,3987
"459",1993,3796
"460",1993,3851
"461",1993,3508
"462",1993,3992
"463",1993,3518
"464",1993,3987
"465",1993,3736
"466",1993,3931
"467",1993,3463
"468",1993,3896
"469",1994,4261
"470",1994,4210
"471",1994,4024
"472",1994,4105
"473",1994,3600
"474",1994,4091
"475",1994,3847
"476",1994,3979
"477",1994,4092
"478",1994,4150
"479",1994,3647
"480",1994,4110
"481",1995,4147
"482",1995,4366
"483",1995,4189
"484",1995,4589
"485",1995,3587
"486",1995,4476
"487",1995,4116
"488",1995,4292
"489",1995,3904
"490",1995,4414
"491",1995,3693
"492",1995,4177
"493",1996,4206
"494",1996,4478
"495",1996,4301
"496",1996,4746
"497",1996,3945
"498",1996,4468
"499",1996,4204
"500",1996,4556
"501",1996,4252
"502",1996,4621
"503",1996,4155
"504",1996,4476
"505",1997,4244
"506",1997,4421
"507",1997,4499
"508",1997,4774
"509",1997,3977
"510",1997,4804
"511",1997,4303
"512",1997,4776
"513",1997,4469
"514",1997,4623
"515",1997,4137
"516",1997,4546
"517",1998,4525
"518",1998,4791
"519",1998,4765
"520",1998,4964
"521",1998,4349
"522",1998,4979
"523",1998,4572
"524",1998,4873
"525",1998,4565
"526",1998,4944
"527",1998,4045
"528",1998,4823
"529",1999,4875
"530",1999,4908
"531",1999,5082
"532",1999,5077
"533",1999,4283
"534",1999,5264
"535",1999,4807
"536",1999,5010
"537",1999,4885
"538",1999,5038
"539",1999,4344
"540",1999,5065
"541",2000,5351
"542",2000,5284
"543",2000,5325
"544",2000,5550
"545",2000,4667
"546",2000,5465
"547",2000,5006
"548",2000,5364
"549",2000,5121
"550",2000,5490
"551",2000,4587
"552",2000,5181
"553",2001,5206
"554",2001,5618
"555",2001,5369
"556",2001,5562
"557",2001,4960
"558",2001,5517
"559",2001,5358
"560",2001,5422
"561",2001,5443
"562",2001,5542
"563",2001,4897
"564",2001,5414
"565",2002,5705
"566",2002,6054
"567",2002,5600
"568",2002,5948
"569",2002,5225
"570",2002,5523
"571",2002,5536
"572",2002,5764
"573",2002,5544
"574",2002,5869
"575",2002,5397
"576",2002,5640
"577",2003,6175
"578",2003,6285
"579",2003,6123
"580",2003,6557
"581",2003,5611
"582",2003,6516
"583",2003,5931
"584",2003,6084
"585",2003,5770
"586",2003,6158
"587",2003,5521
"588",2003,6161
"589",2004,6506
"590",2004,6596
"591",2004,6501
"592",2004,6834
"593",2004,5897
"594",2004,6630
"595",2004,6361
"596",2004,6376
"597",2004,6408
"598",2004,6574
"599",2004,5921
"600",2004,6368
"601",2005,6972
"602",2005,6858
"603",2005,6830
"604",2005,7285
"605",2005,6350
"606",2005,7025
"607",2005,6791
"608",2005,7123
"609",2005,6781
"610",2005,7111
"611",2005,6294
"612",2005,6946
"613",2006,6988
"614",2006,7229
"615",2006,7125
"616",2006,7618
"617",2006,6398
"618",2006,7328
"619",2006,7264
"620",2006,7279
"621",2006,7049
"622",2006,7502
"623",2006,6615
"624",2006,7554
"625",2007,7711
"626",2007,7500
"627",2007,7856
"628",2007,8105
"629",2007,6693
"630",2007,7906
"631",2007,7790
"632",2007,7457
"633",2007,7441
"634",2007,7804
"635",2007,6953
"636",2007,7910
"637",2008,8133
"638",2008,8202
"639",2008,8196
"640",2008,8578
"641",2008,7182
"642",2008,8118
"643",2008,8076
"644",2008,7921
"645",2008,7974
"646",2008,8227
"647",2008,7295
"648",2008,8365
"649",2009,8615
"650",2009,8377
"651",2009,8471
"652",2009,8830
"653",2009,7547
"654",2009,8789
"655",2009,8131
"656",2009,8219
"657",2009,8340
"658",2009,8599
"659",2009,7692
"660",2009,8727
"661",2010,9508
"662",2010,9194
"663",2010,9535
"664",2010,9564
"665",2010,8662
"666",2010,9302
"667",2010,9491
"668",2010,8660
"669",2010,9184
"670",2010,9234
"671",2010,8275
"672",2010,9115
"673",2011,10712
"674",2011,10164
"675",2011,9977
"676",2011,10183
"677",2011,8995
"678",2011,9555
"679",2011,10145
"680",2011,9262
"681",2011,9506
"682",2011,10083
"683",2011,8580
"684",2011,9828
"685",2012,1787
"686",2012,6398
"687",2012,9989
"688",2012,10117
"689",2012,9314
"690",2012,10098
"691",2012,11025
"692",2012,10652
"693",2012,10494
"694",2012,10800
"695",2012,9961
"696",2012,10679
